frame_left,0.0,0.0,0.0,90.0,0.0,180.0
frame_short,390.93,378.2,185.0,0.0,-90.0,92.992
bracket_1,416.96,349.52,265.0,0.0,90.0,177.008
bracket_2,416.96,349.52,105.0,0.0,90.0,177.008
frame_long,411.2,-8.66,185.0,0.0,90.0,-93.009
bracket_3,434.1,22.59,73.0,0.0,-90.0,3.009
bracket_4,434.1,22.59,297.0,0.0,-90.0,3.009
frame_back,858.83,439.25,185.0,0.0,90.0,81.989
frame_right,0.0,0.0,370.0,90.0,0.0,180.0
longscrew_1,410.68,1.33,385.0,0.0,90.0,90.0
longscrew_2,860.22,429.35,350.0,0.0,90.0,90.0
longscrew_3,391.45,368.21,350.0,0.0,90.0,90.0
longscrew_4,410.68,1.33,-15.0,0.0,-90.0,-90.0
longscrew_5,860.22,429.35,20.0,0.0,-90.0,-90.0
longscrew_6,391.45,368.21,20.0,0.0,-90.0,-90.0
